k	cluster	item	itemConsensus
459	3	1	TCGA.CR.5249.01	0.0710590291502466
460	3	1	TCGA.CR.6467.01	0.0701210292173036
461	3	1	TCGA.CR.6470.01	0.0718553387172307
462	3	1	TCGA.CR.6471.01	0.335870282352227
463	3	1	TCGA.CR.6480.01	0.120375963131733
464	3	1	TCGA.CR.6482.01	0.0720065334654341
465	3	1	TCGA.CR.6487.01	0.0678497530582964
466	3	1	TCGA.CR.6492.01	0.125772407614986
467	3	1	TCGA.CR.7377.01	0.0769810862695154
468	3	1	TCGA.CR.7380.01	0.838788772283999
469	3	1	TCGA.CR.7383.01	0.112413671390846
470	3	1	TCGA.CR.7385.01	0.0738514565276429
471	3	1	TCGA.CR.7395.01	0.0757037763336226
472	3	1	TCGA.CR.7404.01	0.0695071420960971
473	3	1	TCGA.CV.5966.01	0.0782996532616046
474	3	1	TCGA.CV.6955.01	0.788322062887846
475	3	1	TCGA.CV.7091.01	0.121021807091599
476	3	1	TCGA.CV.7100.01	0.0682906714239524
477	3	1	TCGA.CV.7235.01	0.12649208078262
478	3	1	TCGA.CV.7407.01	0.0881366697541732
479	3	1	TCGA.CV.7425.01	0.100147361617364
480	3	1	TCGA.CV.7427.01	0.0696415409667324
481	3	1	TCGA.CV.7434.01	0.0951953157908475
482	3	1	TCGA.CV.A468.01	0.0704462428283431
483	3	1	TCGA.CV.A6JD.01	0.0778416961393307
484	3	1	TCGA.CV.A6JE.01	0.0878175310953528
485	3	1	TCGA.CV.A6JN.01	0.0725404817421253
486	3	1	TCGA.CV.A6JZ.01	0.0679881381824112
487	3	1	TCGA.CX.7082.01	0.818944871036971
488	3	1	TCGA.CX.A4AQ.01	0.115329374492734
489	3	1	TCGA.D6.6516.01	0.0861609814505045
490	3	1	TCGA.D6.A6EN.01	0.0595042788948329
491	3	1	TCGA.DQ.7596.01	0.0843391018552401
492	3	1	TCGA.F7.A624.01	0.0740318147751657
493	3	1	TCGA.H7.7774.01	0.106946855505949
494	3	1	TCGA.H7.8501.01	0.0749006793910907
495	3	1	TCGA.HD.7832.01	0.905861486272517
496	3	1	TCGA.HD.A6I0.01	0.0808104457212336
497	3	1	TCGA.HL.7533.01	0.137366714561451
498	3	1	TCGA.KU.A6H7.01	0.0768785876595328
499	3	1	TCGA.MT.A51W.01	0.535321023662985
500	3	1	TCGA.MT.A67F.01	0.0833320600966974
501	3	1	TCGA.P3.A5Q5.01	0.071116004066468
502	3	1	TCGA.P3.A6SW.01	0.0676377942002905
503	3	1	TCGA.QK.A64Z.01	0.841751354897353
504	3	1	TCGA.QK.A6IF.01	0.0799398405967955
505	3	1	TCGA.QK.A6IG.01	0.102989151681262
506	3	1	TCGA.QK.A6IJ.01	0.0707308744728376
507	3	1	TCGA.QK.A6V9.01	0.0749643727967474
508	3	1	TCGA.QK.A8Z9.01	0.824004555262886
509	3	1	TCGA.RS.A6TP.01	0.77490818778244
510	3	1	TCGA.T2.A6X0.01	0.0727573980532832
511	3	1	TCGA.T2.A6X2.01	0.0765022712405507
512	3	1	TCGA.T3.A92N.01	0.0722926569299056
513	3	1	TCGA.UF.A7JT.01	0.079197978345029
514	3	1	TCGA.CV.7428.01	0.128110839865349
515	3	1	TCGA.CV.7254.01	0.0981943702622863
516	3	1	TCGA.RS.A6TO.01	0.0624528062279102
517	3	1	TCGA.CV.7099.01	0.876237499820386
